age,item,micromorts,coins,triesUntil50,triesUntil95,frequency,isInstance,source
41,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
42,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
43,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
44,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
45,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
46,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
47,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
48,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
49,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
50,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
51,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
52,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
53,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
54,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
55,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
56,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
57,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
58,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
59,Surviving the Day,4,17.93156857,173286.4486,748931.5705,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
60,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
61,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
62,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
63,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
64,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
65,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
66,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
67,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
68,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
69,Surviving the Day,5,17.60964047,138629.0895,599144.9568,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
70,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
71,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
72,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
73,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
74,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
75,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
76,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
77,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
78,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
79,Surviving the Day,6,17.34660607,115524.1835,499287.2144,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
80,Surviving the Day,100,13.28771238,6931.125226,29955.82484,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
81,Surviving the Day,150,12.70274988,4620.634621,19970.05059,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
82,Surviving the Day,200,12.28771238,3465.389318,14977.16345,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
83,Surviving the Day,250,11.96578428,2772.242134,11981.43117,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
84,Surviving the Day,300,11.70274988,2310.144011,9984.276304,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
85,Surviving the Day,350,11.48035746,1980.073922,8557.737114,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
86,Surviving the Day,400,11.28771238,1732.521355,7487.832718,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
87,Surviving the Day,450,11.11778738,1539.980468,6655.684852,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
88,Surviving the Day,500,10.96578428,1385.947759,5989.966556,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
89,Surviving the Day,550,10.82828076,1259.920996,5445.287948,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
90,Surviving the Day,600,10.70274988,1154.898693,4991.389107,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
91,Surviving the Day,650,10.58727266,1066.033667,4607.320854,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
92,Surviving the Day,700,10.48035746,989.8636439,4278.119493,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
93,Surviving the Day,750,10.38082178,923.8496238,3992.811645,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
94,Surviving the Day,800,10.28771238,866.0873559,3743.167276,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
95,Surviving the Day,850,10.20024954,815.1206485,3522.892832,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
96,Surviving the Day,900,10.11778738,769.8169084,3327.093324,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
97,Surviving the Day,950,10.03978487,729.2819826,3151.90429,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
98,Surviving the Day,1000,9.965784285,692.8005492,2994.234158,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
99,Surviving the Day,1150,9.764150423,602.3900387,2603.486432,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
100,Surviving the Day,1200,9.702749879,577.2760075,2494.945395,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
